text,pos,total,pos_unique
[],[],0,0
"[fideli, fidelis]","['NOUN', 'ADP']",2,2
[ève],['ADJ'],1,1
"[jésus, parle]","['PROPN', 'VERB']",2,2
"[mère, ensevelie, hors, premier, jardin]","['NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN']",5,4
"[plus, connu, climat, grâce]","['ADV', 'VERB', 'NOUN', 'NOUN']",4,3
"[vasque, source, haute, terrasse]","['ADJ', 'NOUN', 'ADJ', 'NOUN']",4,2
"[premier, soleil, premier, matin]","['ADJ', 'NOUN', 'ADJ', 'NOUN']",4,2
"[bondissements, biche, daim]","['NOUN', 'NOUN', 'ADJ']",3,2
"[nouant, dénouant, course, fraternelle]","['VERB', 'VERB', 'NOUN', 'ADJ']",4,3
"[courant, sautant, arrêtant, soudain]","['NOUN', 'VERB', 'VERB', 'ADV']",4,3
"[mieux, commémorer, vigueur, éternelle]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[bien, mesurer, force, originelle]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[poser, leurs, moelleux, tapis]","['VERB', 'DET', 'ADJ', 'NOUN']",4,4
"[deux, beaux, coureurs, soi, -, même, tapis]","['NUM', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'ADJ', 'NOUN']",7,4
"[afin, saluer, lenteur, solennelle]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[ravissements, jeune, gazelle]","['NOUN', 'ADJ', 'NOUN']",3,2
"[laçant, délaçant, course, vagabonde]","['VERB', 'VERB', 'NOUN', 'ADJ']",4,3
"[galopant, trottant, suspendant, ronde]","['VERB', 'VERB', 'VERB', 'ADJ']",4,2
"[afin, saluer, race, intemporelle]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[dépassements, bouc, chevreuil]","['NOUN', 'NOUN', 'NOUN']",3,1
"[mêlant, démêlant, course, audacieuse]","['VERB', 'VERB', 'NOUN', 'ADJ']",4,3
"[dressés, tout, coup, quelque, immense, seuil]","['VERB', 'DET', 'NOUN', 'DET', 'ADJ', 'NOUN']",6,4
"[afin, saluer, terre, spacieuse]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[tous, filateurs, toutes, fileuses]","['ADJ', 'NOUN', 'DET', 'NOUN']",4,3
"[mêlant, démêlant, écheveau, course]","['VERB', 'VERB', 'NOUN', 'NOUN']",4,2
"[sable, or, vagues, nébuleuses]","['ADJ', 'NOUN', 'NOUN', 'ADJ']",4,2
"[sept, clous, articulés, découpaient, grande, ourse]","['NUM', 'NOUN', 'VERB', 'VERB', 'ADJ', 'NOUN']",6,4
"[tous, inventeurs, toutes, brodeuses]","['DET', 'NOUN', 'DET', 'NOUN']",4,2
"[lacis, leurs, découpaient, dentelles]","['NOUN', 'PRON', 'VERB', 'ADJ']",4,4
"[beaux, arpenteurs, parmi, ravaudeuses]","['ADJ', 'NOUN', 'ADP', 'NOUN']",4,3
"[dessinaient, glacis, devant, citadelles]","['VERB', 'ADV', 'ADP', 'NOUN']",4,4
"[création, naissante, sans, mémoire]","['NOUN', 'ADJ', 'ADP', 'NOUN']",4,3
"[tournante, retournante, courbes, orbe]","['ADJ', 'NOUN', 'NOUN', 'ADJ']",4,2
"[faîne, gland, coing, sorbe]","['ADJ', 'VERB', 'X', 'VERB']",4,3
"[plus, juteux, sous, dents, prune, poire]","['ADV', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'ADJ']",6,4
"[plus, connu, terre, maternelle]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[fomentant, sein, faciles, épis]","['VERB', 'ADV', 'ADJ', 'NOUN']",4,4
"[race, pendue, innombrables, pis]","['NOUN', 'ADJ', 'ADJ', 'PRON']",4,3
"[nature, chaste, ensemble, charnelle]","['NOUN', 'ADJ', 'ADJ', 'ADJ']",4,2
"[plus, connu, ni, glèbe, facile]","['ADV', 'VERB', 'CCONJ', 'ADJ', 'ADJ']",5,4
"[ni, silence, ombre, cette, lourde, grappe]","['CCONJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN']",6,5
"[ni, océan, blés, cette, lourde, nappe]","['CCONJ', 'NOUN', 'NOUN', 'DET', 'ADJ', 'NOUN']",6,4
"[jours, bonheur, suivant, file]","['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
"[plus, connu, ni, cette, plaine, grasse]","['ADV', 'VERB', 'CCONJ', 'DET', 'NOUN', 'ADJ']",6,6
"[ni, avoine, seigle, leurs, débordements]","['CCONJ', 'ADV', 'NOUN', 'DET', 'NOUN']",5,4
"[ni, vigne, treille, leurs, festonnements]","['CCONJ', 'NOUN', 'ADJ', 'DET', 'NOUN']",5,4
"[jours, bonheur, suivant, trace]","['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
"[plus, connu, limon, encrasse]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[force, être, épais, être, nourrissant]","['NOUN', 'AUX', 'ADJ', 'AUX', 'VERB']",5,4
"[plus, connu, pampre, florissant]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[race, blés, jaillis, race]","['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
"[plus, connu, arbre, chargé, pommes]","['ADV', 'VERB', 'NOUN', 'VERB', 'NOUN']",5,3
"[pliant, sous, faix, mûre, saison]","['VERB', 'ADP', 'NOUN', 'ADP', 'NOUN']",5,3
"[plus, connu, devant, maison]","['ADV', 'VERB', 'ADP', 'NOUN']",4,4
"[blés, enfants, jaillis, enfants, hommes]","['NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN']",5,2
"[depuis, jour, devenu, fange]","['ADP', 'NOUN', 'VERB', 'NOUN']",4,3
"[encor, lourd, plastique, limon]","['ADV', 'ADJ', 'ADJ', 'NOUN']",4,3
"[sagesse, roi, salomon]","['NOUN', 'NOUN', 'PROPN']",3,2
"[point, départagé, homme, avecque, ange]","['NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN']",5,3
"[depuis, jour, devenu, somme]","['ADP', 'NOUN', 'VERB', 'NOUN']",4,3
"[obtenait, sans, total, sans, addition]","['VERB', 'ADP', 'NOUN', 'ADP', 'NOUN']",5,3
"[sagesse, assise, coteau, sion]","['NOUN', 'ADJ', 'NOUN', 'NOUN']",4,2
"[point, dépareillé, ange, avecque, homme]","['NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN']",5,3
"[plus, connu, ni, cette, plaine, rase]","['ADV', 'VERB', 'CCONJ', 'DET', 'NOUN', 'VERB']",6,5
"[ni, secret, ravin, pentes, inclinées]","['CCONJ', 'NOUN', 'NUM', 'NOUN', 'VERB']",5,4
"[ni, mouvant, tableau, ombres, déclinées]","['CCONJ', 'VERB', 'NOUN', 'NOUN', 'VERB']",5,3
"[ni, vallons, plus, pleins, flanc, beau, vase]","['CCONJ', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'ADJ', 'NOUN']",7,4
"[plus, connu, saisons, couronnées]","['ADV', 'VERB', 'NOUN', 'VERB']",4,3
"[dansant, devant, temps]","['VERB', 'ADP', 'NOUN']",3,3
"[plus, connu, vers, printemps]","['ADV', 'VERB', 'ADP', 'NOUN']",4,4
"[long, balancement, saisons, prosternées]","['ADJ', 'NOUN', 'NOUN', 'ADJ']",4,2
"[plus, connu, fleurs, nouvelles, -, nées]","['ADV', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'VERB']",6,4
"[jaillissant, sommets, énormes, cascades]","['VERB', 'NOUN', 'ADJ', 'NOUN']",4,3
"[plus, connu, profondes, arcades]","['ADV', 'VERB', 'ADJ', 'NOUN']",4,4
"[haut, cyprès, ombres, décernées]","['ADJ', 'NOUN', 'NOUN', 'VERB']",4,3
"[plus, connu, naissantes, années]","['ADV', 'VERB', 'ADJ', 'NOUN']",4,4
"[jaillissant, comme, chœur, haut, jeune, temps]","['VERB', 'ADP', 'DET', 'ADJ', 'ADJ', 'NOUN']",6,5
"[plus, connu, vers, jeune, printemps]","['ADV', 'VERB', 'ADP', 'ADJ', 'NOUN']",5,5
"[chaste, enlacement, saisons, alternées]","['ADJ', 'ADJ', 'NOUN', 'ADJ']",4,2
"[plus, connu, saisons, discernées]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[égal, bonheur, creux, temps]","['ADJ', 'NOUN', 'ADJ', 'NOUN']",4,2
"[plus, connu, vers, égal, printemps]","['ADV', 'VERB', 'ADP', 'ADJ', 'NOUN']",5,5
"[égal, déroulement, saisons, gouvernées]","['ADJ', 'NOUN', 'NOUN', 'VERB']",4,3
"[plus, connu, saisons, retournées]","['ADV', 'VERB', 'NOUN', 'VERB']",4,3
"[vers, égal, bonheur, vers, temps]","['ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN']",5,3
"[plus, connu, vers, printemps]","['ADV', 'VERB', 'ADP', 'NOUN']",4,4
"[souple, enroulement, saisons, détournées]","['ADJ', 'NOUN', 'NOUN', 'VERB']",4,3
"[plus, connu, autre, pôle]","['ADV', 'VERB', 'ADJ', 'NOUN']",4,4
"[terre, balancée, ainsi, nacelle]","['NOUN', 'VERB', 'ADV', 'ADJ']",4,4
"[désistement, retrait, épaule]","['ADJ', 'NOUN', 'ADJ']",3,2
"[saison, périe, encor, jouvencelle]","['NOUN', 'NOUN', 'ADV', 'ADJ']",4,3
"[plus, connu, autre, pôle]","['ADV', 'VERB', 'ADJ', 'NOUN']",4,4
"[terre, balancée, ainsi, beau, trois-mâts]","['NOUN', 'VERB', 'ADV', 'ADJ', 'NOUN']",5,4
"[renoncement, effacement, épaule]","['NOUN', 'ADJ', 'NOUN']",3,2
"[saison, meurt, retour, frimas]","['NOUN', 'VERB', 'NOUN', 'VERB']",4,2
"[plus, connu, autre, pôle]","['ADV', 'VERB', 'ADJ', 'NOUN']",4,4
"[terre, balancée, ainsi, bâtiment]","['NOUN', 'VERB', 'ADV', 'NOUN']",4,3
"[détournement, blancheur, épaule]","['NOUN', 'NOUN', 'ADJ']",3,2
"[saison, meurt, éternellement]","['NOUN', 'VERB', 'ADV']",3,3
"[depuis, jour, devenu, boue]","['ADP', 'NOUN', 'VERB', 'NOUN']",4,3
"[alors, suc, féconde, terre]","['ADV', 'PRON', 'ADJ', 'NOUN']",4,4
"[nul, connaissait, peine, héréditaire]","['ADJ', 'VERB', 'NOUN', 'ADJ']",4,3
"[nul, connaissait, houlette, houe]","['ADJ', 'VERB', 'PROPN', 'VERB']",4,3
"[depuis, jour, devenu, mort]","['ADP', 'NOUN', 'VERB', 'ADJ']",4,4
"[naturel, tranquille, départ]","['ADJ', 'ADJ', 'NOUN']",3,2
"[bonheur, écrasait, homme, toute, part]","['NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN']",5,3
