text,pos,total,pos_unique
[tapisserie],['NOUN'],1,1
[dame],['NOUN'],1,1
"[cahier, dimanche, pentecôte]","['NOUN', 'NOUN', 'PROPN']",3,2
"[mois, mai]","['NOUN', 'NOUN']",2,1
"[quatorzième, série]","['ADJ', 'NOUN']",2,2
"[fidèle, lotte]","['ADP', 'NOUN']",2,2
"[bulletin, professeurs, catholiques, l', université]","['NOUN', 'NOUN', 'ADJ', 'DET', 'NOUN']",5,3
"[présentation, paris, dame]","['NOUN', 'ADJ', 'NOUN']",3,2
"[étoile, mer, voici, lourde, nef]","['NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN']",5,3
"[où, ramons, tout, nuds, sous, commandements]","['PRON', 'VERB', 'ADV', 'VERB', 'ADP', 'NOUN']",6,5
"[voici, détresse, désarmements]","['VERB', 'X', 'PROPN']",3,3
"[voici, quai, louvre, l', écluse, bief]","['VERB', 'NOUN', 'VERB', 'DET', 'NOUN', 'NOUN']",6,3
"[voici, appareil, voici, chef]","['VERB', 'NOUN', 'VERB', 'NOUN']",4,2
"[c', est, gars, chez, siffle, moments]","['PRON', 'AUX', 'NOUN', 'ADP', 'ADJ', 'NOUN']",6,5
"[pareil, gouvernements]","['ADJ', 'NOUN']",2,2
"[tête, dure, geste, peu, bref]","['NOUN', 'ADJ', 'NOUN', 'ADV', 'ADV']",5,3
"[reine, levez, tous, océans]","['NOUN', 'VERB', 'ADJ', 'NOUN']",4,3
"[penserez, quand, large]","['VERB', 'SCONJ', 'ADJ']",3,3
"[aujourd'hui, c', est, jour, d', embarquer, charge]","['ADV', 'PRON', 'AUX', 'NOUN', 'ADP', 'VERB', 'NOUN']",7,6
"[voici, l', énorme, grue, longs, meuglements]","['VERB', 'DET', 'ADJ', 'NOUN', 'ADJ', 'NOUN']",6,4
"[s', il, fallait, charger, pauvres, vertus]","['SCONJ', 'PRON', 'VERB', 'VERB', 'ADJ', 'NOUN']",6,5
