text,pos,total,pos_unique
"[porche, mystère]","['NOUN', 'ADJ']",2,2
"[deuxième, vertu]","['ADJ', 'NOUN']",2,2
"[madame, gervaise, rentre]","['NOUN', 'VERB', 'VERB']",3,2
"[madame, gervaise]","['NOUN', 'VERB']",2,2
"[foi, aime, mieux, dit, dieu, espérance]","['NOUN', 'VERB', 'ADV', 'VERB', 'NOUN', 'NOUN']",6,3
"[foi, ça, étonne]","['NOUN', 'PRON', 'VERB']",3,3
"[ça, étonnant]","['PRON', 'ADJ']",2,2
"[éclate, tellement, création]","['VERB', 'ADV', 'NOUN']",3,3
"[soleil, lune, étoiles]","['NOUN', 'NOUN', 'NOUN']",3,1
"[toutes, créatures]","['DET', 'NOUN']",2,2
"[astres, firmament, poissons]","['NOUN', 'ADV', 'NOUN']",3,2
[mer],['NOUN'],1,1
"[univers, créatures]","['NOUN', 'NOUN']",2,1
"[face, mer, face, eaux]","['NOUN', 'PROPN', 'NOUN', 'NOUN']",4,2
[mouvement],['NOUN'],1,1
"[astres, ciel]","['NOUN', 'NOUN']",2,1
"[vent, souffle, mer, vent]","['NOUN', 'VERB', 'ADP', 'NOUN']",4,3
"[souffle, vallée]","['VERB', 'NOUN']",2,2
"[calme, vallée]","['ADJ', 'NOUN']",2,2
"[recoite, vallée]","['NOUN', 'NOUN']",2,1
"[plantes, bêtes, bêtes, forêts]","['NOUN', 'NOUN', 'NOUN', 'ADJ']",4,2
[homme],['NOUN'],1,1
[créature],['NOUN'],1,1
"[peuples, hommes]","['NOUN', 'NOUN']",2,1
"[rois, peuples]","['NOUN', 'NOUN']",2,1
"[homme, femme, compagne]","['NOUN', 'NOUN', 'NOUN']",3,1
"[surtout, enfants]","['ADV', 'NOUN']",2,2
[créatures],['NOUN'],1,1
"[regard, voix, enfants]","['NOUN', 'NOUN', 'NOUN']",3,1
"[car, enfants, plus, créatures]","['CCONJ', 'NOUN', 'ADV', 'NOUN']",4,3
[hommes],['NOUN'],1,1
"[encore, défaits, vie]","['ADV', 'VERB', 'NOUN']",3,3
[terre],['NOUN'],1,1
"[entre, tous, serviteurs]","['ADP', 'DET', 'NOUN']",3,3
"[avant, tous]","['ADP', 'ADJ']",2,2
"[voix, enfants, plus, pure, voix]","['NOUN', 'NOUN', 'ADV', 'ADJ', 'NOUN']",5,3
"[vent, calme, vallée]","['NOUN', 'ADJ', 'NOUN']",3,2
"[vallée, recoite]","['NOUN', 'NOUN']",2,1
"[regard, enfants, plus, pur, bleu]","['NOUN', 'NOUN', 'ADV', 'ADJ', 'ADJ']",5,3
"[ciel, laiteux, ciel, rayon, étoile]","['NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN']",5,2
"[calme, nuit]","['ADJ', 'NOUN']",2,2
"[or, éclate, tellement, création]","['NOUN', 'VERB', 'ADV', 'NOUN']",4,3
"[face, montagnes, face, plaine]","['NOUN', 'NOUN', 'NOUN', 'NOUN']",4,1
"[pain, vin, homme]","['NOUN', 'NOUN', 'NOUN']",3,1
"[laboure, homme, sème]","['VERB', 'NOUN', 'VERB']",3,2
"[moisson, vendange]","['NOUN', 'ADV']",2,2
"[lumière, ténèbres]","['NOUN', 'ADJ']",2,2
"[cœur, homme]","['NOUN', 'NOUN']",2,1
"[plus, profond, monde]","['ADV', 'ADJ', 'NOUN']",3,3
[créé],['VERB'],1,1
"[si, profond, impénétrable, tout, regard]","['SCONJ', 'ADJ', 'ADJ', 'DET', 'NOUN']",5,4
"[excepté, regard]","['ADP', 'NOUN']",2,2
"[tempête, fait, bondir, vagues]","['NOUN', 'AUX', 'VERB', 'NOUN']",4,3
"[tempête, fait, bondir, feuilles]","['NOUN', 'AUX', 'VERB', 'NOUN']",4,3
"[arbres, forêt]","['NOUN', 'NOUN']",2,1
"[contraire, calme, beau, soir]","['ADJ', 'ADJ', 'ADJ', 'NOUN']",4,2
"[sables, mer, étoiles]","['NOUN', 'ADP', 'NOUN']",3,2
"[sable, ciel]","['ADJ', 'ADJ']",2,1
"[pierre, seuil, pierre, foyer]","['NOUN', 'NOUN', 'NOUN', 'ADJ']",4,2
"[pierre, autel]","['NOUN', 'NOUN']",2,1
"[prière, sacrements]","['NOUN', 'ADJ']",2,2
"[maisons, hommes, église]","['NOUN', 'NOUN', 'NOUN']",3,1
"[maison, terre]","['NOUN', 'ADJ']",2,2
"[aigle, créature, vole, sommets]","['NOUN', 'NOUN', 'VERB', 'ADJ']",4,3
"[aigle, royal, moins, deux, mètres, enver-]","['NOUN', 'ADJ', 'ADV', 'NUM', 'NOUN', 'PUNCT']",6,5
"[—, gure, peut-être, trois, mètres]","['PUNCT', 'ADJ', 'ADV', 'NUM', 'NOUN']",5,5
"[fourmi, créature, rampe]","['NOUN', 'NOUN', 'NOUN']",3,1
"[amasse, petitement]","['NOUN', 'ADV']",2,2
[terre],['NOUN'],1,1
"[fourmi, serviteur]","['NOUN', 'NOUN']",2,1
"[jusque, serpent]","['ADJ', 'NOUN']",2,2
"[fourmi, servante, infime, servante]","['NOUN', 'ADJ', 'ADJ', 'ADJ']",4,2
"[amasse, péniblement, parcimonieuse]","['NOUN', 'ADV', 'ADJ']",3,3
"[travaille, comme, malheureuse]","['VERB', 'ADP', 'ADJ']",3,3
"[point, cesse, point, repos]","['NOUN', 'VERB', 'NOUN', 'NOUN']",4,2
"[mort, long, sommeil, hiver]","['NOUN', 'ADJ', 'NOUN', 'NOUN']",4,2
"[haussant, épaules, tant, évidence]","['VERB', 'NOUN', 'ADV', 'NOUN']",4,3
"[devant, tant, évide]","['ADP', 'ADV', 'ADJ']",3,3
[nce],['VERB'],1,1
"[éclate, tellement, toute, création]","['VERB', 'ADV', 'DET', 'NOUN']",4,4
"[infime, créature, infime, ser-]","['ADJ', 'NOUN', 'ADJ', 'PROPN']",4,3
"[—, vante, infime, fourmi, infime]","['PUNCT', 'ADJ', 'ADJ', 'NOUN', 'ADJ']",5,3
"[thésaurise, petitement, comme, homme]","['NOUN', 'ADV', 'ADP', 'NOUN']",4,3
"[comme, homme, infime]","['ADP', 'NOUN', 'ADJ']",3,3
"[creuse, galeries, terre]","['ADJ', 'NOUN', 'ADJ']",3,2
"[sous-sols, terre]","['DET', 'NOUN']",2,2
"[amasser, mesquinement, trésors]","['VERB', 'ADV', 'VERB']",3,2
[temporels],['ADJ'],1,1
[pauvrement],['NOUN'],1,1
"[jusque, serpent]","['ADJ', 'NOUN']",2,2
"[trompé, femme, rampe, cela]","['ADJ', 'NOUN', 'NOUN', 'PRON']",4,3
[ventre],['NOUN'],1,1
"[créature, serviteur]","['NOUN', 'NOUN']",2,1
"[serpent, trompé, femme]","['NOUN', 'ADJ', 'NOUN']",3,2
[servante],['ADJ'],1,1
"[trompé, homme, serviteur]","['ADJ', 'NOUN', 'ADJ']",3,2
"[éclate, tellement, création]","['VERB', 'ADV', 'NOUN']",3,3
"[tout, arrive, hommes, peuples]","['DET', 'VERB', 'NOUN', 'NOUN']",4,3
[pauvres],['NOUN'],1,1
[riches],['ADJ'],1,1
"[veulent, être, créatures]","['VERB', 'AUX', 'VERB']",3,2
"[mettent, abri]","['VERB', 'ADJ']",2,2
"[être, serviteurs]","['AUX', 'VERB']",2,2
"[tout, homme, fait, défait, mal]","['DET', 'NOUN', 'AUX', 'VERB', 'ADV']",5,5
[bien],['ADV'],1,1
"[passe, dessus, parce]","['VERB', 'ADV', 'SCONJ']",3,3
"[maître, fais, défait, défais]","['NOUN', 'AUX', 'VERB', 'VERB']",4,3
[fait],['VERB'],1,1
"[jusque, tentation, péché]","['ADJ', 'NOUN', 'NOUN']",3,2
[arrivé],['VERB'],1,1
[fils],['NOUN'],1,1
"[cause, homme]","['NOUN', 'NOUN']",2,1
[créature],['NOUN'],1,1
[créé],['VERB'],1,1
"[incorporation, renaissance]","['NOUN', 'NOUN']",2,1
"[vie, mort, fils]","['NOUN', 'ADJ', 'NOUN']",3,2
"[saint, sacrifice, messe]","['NOUN', 'NOUN', 'NOUN']",3,1
"[toute, naissance, toute, vie]","['DET', 'NOUN', 'DET', 'NOUN']",4,2
"[toute, mort]","['DET', 'NOUN']",2,2
"[vie, éternelle, finira, point]","['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
"[vaincra, toute, mort]","['VERB', 'DET', 'NOUN']",3,3
"[éclate, tellement, création]","['VERB', 'ADV', 'NOUN']",3,3
"[voir, vraiment, faudrait]","['VERB', 'ADV', 'VERB']",3,2
"[pauvres, gens, aveugles]","['NOUN', 'NOUN', 'ADJ']",3,2
"[charité, dit, dieu, ça, étonne]","['NOUN', 'VERB', 'PROPN', 'PRON', 'VERB']",5,4
"[ça, étonnant]","['PRON', 'ADJ']",2,2
"[pauvres, créatures, si, malheureuses]","['ADJ', 'NOUN', 'SCONJ', 'ADJ']",4,3
"[moins, avoir, cœur, pierre, comment, au-]","['ADV', 'VERB', 'NOUN', 'NOUN', 'ADV', 'PUNCT']",6,4
"[—, raient, -, elles, point, charité, unes, autres]","['PUNCT', 'VERB', 'PUNCT', 'DET', 'NOUN', 'ADJ', 'ADJ', 'ADJ']",8,5
"[comment, auraient, -ils, point, charité, frères]","['ADV', 'AUX', 'PRON', 'NOUN', 'ADJ', 'ADJ']",6,5
"[comment, retireraient, -ils, point, pain]","['ADV', 'VERB', 'PRON', 'NOUN', 'NOUN']",5,4
"[bouche, pain, chaque, jour, donner]","['NOUN', 'NOUN', 'DET', 'NOUN', 'VERB']",5,3
"[malheureux, enfants, passent]","['ADJ', 'NOUN', 'VERB']",3,3
"[fils, telle, charité]","['NOUN', 'ADJ', 'NOUN']",3,2
"[fils, frère]","['NOUN', 'ADJ']",2,2
"[si, grande, charité]","['SCONJ', 'ADJ', 'NOUN']",3,3
"[espérance, dit, dieu, voilà, étonne]","['NOUN', 'VERB', 'NOUN', 'VERB', 'VERB']",5,2
"[moi, -, même]","['PRON', 'PUNCT', 'ADV']",3,3
"[ça, étonnant]","['PRON', 'ADJ']",2,2
"[pauvres, enfants, voient, comme, tout, ça]","['ADJ', 'NOUN', 'VERB', 'ADP', 'ADJ', 'PRON']",6,5
"[passe, croient, demain, ça, ira, mieux]","['VERB', 'VERB', 'ADV', 'PRON', 'VERB', 'ADV']",6,3
"[voient, comme, ça, passe, aujourd, hui]","['VERB', 'SCONJ', 'PRON', 'VERB', 'ADV', 'NOUN']",6,5
"[croient, ça, ira, mieux, demain, matin]","['VERB', 'PRON', 'VERB', 'ADV', 'ADV', 'NOUN']",6,4
"[ça, étonnant, bien, plus, grande, mer-]","['PRON', 'ADJ', 'ADV', 'ADV', 'ADJ', 'PROPN']",6,4
"[—, veille, grâce]","['PUNCT', 'NOUN', 'NOUN']",3,2
"[étonné, moi, -, même]","['ADJ', 'PRON', 'PUNCT', 'ADV']",4,4
"[faut, grâce, effet, force]","['VERB', 'NOUN', 'NOUN', 'NOUN']",4,2
[incroyable],['ADJ'],1,1
"[coule, source, comme, fleuve]","['VERB', 'NOUN', 'ADP', 'NOUN']",4,3
[inépuisable],['ADJ'],1,1
"[depuis, première, fois, coula, depuis]","['ADP', 'ADJ', 'NOUN', 'VERB', 'ADP']",5,4
"[toujours, coule]","['ADV', 'VERB']",2,2
"[création, naturelle, surnaturelle]","['NOUN', 'ADJ', 'ADJ']",3,2
"[création, spirituelle, charnelle, encore]","['NOUN', 'ADJ', 'ADJ', 'ADV']",4,3
[spirituelle],['ADJ'],1,1
"[création, éternelle, temporelle, encore]","['NOUN', 'ADJ', 'ADJ', 'ADV']",4,3
[éternelle],['ADJ'],1,1
"[mortelle, immortelle]","['ADJ', 'ADJ']",2,1
"[cette, fois, oh, cette, fois, depuis, cette]","['DET', 'NOUN', 'PRON', 'DET', 'NOUN', 'ADP', 'DET']",7,4
[fois],['NOUN'],1,1
"[coula, comme, fleuve, sang, flanc, percé]","['VERB', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'VERB']",6,4
[fils],['NOUN'],1,1
"[quelle, faut, -il, grâce, force]","['DET', 'VERB', 'PRON', 'NOUN', 'NOUN']",5,4
"[grâce, cette, petite, espérance]","['NOUN', 'DET', 'ADJ', 'NOUN']",4,3
"[vacillante, souffle, péché, tremblante, tous]","['ADJ', 'NOUN', 'NOUN', 'ADJ', 'ADJ']",5,2
"[vents, anxieuse, moindre, souffle]","['NOUN', 'ADJ', 'ADJ', 'NOUN']",4,2
"[aussi, invariable, tienne, aussi, fidèle, aussi]","['ADV', 'ADJ', 'VERB', 'ADV', 'ADV', 'ADV']",6,3
"[droite, aussi, pure, aussi, invincible, immortelle]","['NOUN', 'ADV', 'ADJ', 'ADV', 'ADJ', 'ADJ']",6,3
"[impossible, éteindre, cette, petite, flamme]","['ADJ', 'VERB', 'DET', 'ADJ', 'NOUN']",5,4
[sanctuaire],['NOUN'],1,1
"[brûle, éternellement, lampe, fidèle]","['VERB', 'ADV', 'VERB', 'ADJ']",4,3
"[flamme, tremblotante, traversé, épaisseur]","['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
[mondes],['NOUN'],1,1
"[flamme, vacillante, traversé, épaisseur]","['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
[temps],['NOUN'],1,1
"[flamme, anxieuse, traversé, épaisseur]","['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
[nuits],['NOUN'],1,1
"[depuis, cette, première, fois, grâce, coulé]","['ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'NOUN']",6,4
"[création, monde]","['NOUN', 'NOUN']",2,1
"[depuis, toujours, grâce, coule, conser-]","['ADP', 'ADV', 'NOUN', 'VERB', 'VERB']",5,4
"[—, vation, monde]","['PUNCT', 'NOUN', 'NOUN']",3,2
"[depuis, cette, fois, sang, fils, coulé]","['ADP', 'DET', 'NOUN', 'ADJ', 'ADJ', 'VERB']",6,5
"[salut, monde]","['ADJ', 'NOUN']",2,2
"[flamme, impossible, atteindre, impossible, éteindre, souffle, mort]","['NOUN', 'ADJ', 'VERB', 'ADJ', 'VERB', 'NOUN', 'ADJ']",7,3
"[étonne, dit, dieu, espérance]","['VERB', 'VERB', 'NOUN', 'NOUN']",4,2
[reviens],['VERB'],1,1
"[cette, petite, espérance, air, rien, tout]","['DET', 'ADJ', 'NOUN', 'ADJ', 'PRON', 'ADV']",6,5
"[cette, petite, fille, espérance]","['DET', 'ADJ', 'NOUN', 'NOUN']",4,3
[immortelle],['ADJ'],1,1
"[car, trois, vertus, dit, dieu]","['CCONJ', 'NUM', 'NOUN', 'VERB', 'PROPN']",5,5
