text,pos,total,pos_unique
[],[],0,0
"[fideli, fidelis]","['X', 'PROPN']",2,2
[ève],['PROPN'],1,1
"[jésus, parle]","['PROPN', 'VERB']",2,2
"[mère, ensevelie, hors, premier, jardin]","['NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN']",5,4
"[plus, connu, climat, grâce]","['ADV', 'VERB', 'NOUN', 'NOUN']",4,3
"[vasque, source, haute, terrasse]","['NOUN', 'NOUN', 'ADJ', 'NOUN']",4,2
"[premier, soleil, premier, matin]","['ADJ', 'NOUN', 'ADJ', 'NOUN']",4,2
"[bondissements, biche, daim]","['NOUN', 'NOUN', 'NOUN']",3,1
"[nouant, dénouant, course, fraternelle]","['VERB', 'VERB', 'NOUN', 'ADJ']",4,3
"[courant, sautant, arrêtant, soudain]","['ADJ', 'VERB', 'VERB', 'ADV']",4,3
"[mieux, commémorer, vigueur, éternelle]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[bien, mesurer, force, originelle]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[poser, leurs, moelleux, tapis]","['VERB', 'DET', 'ADJ', 'NOUN']",4,4
"[deux, beaux, coureurs, soi, -, même, tapis]","['NUM', 'ADJ', 'NOUN', 'PRON', 'PRON', 'PRON', 'NOUN']",7,4
"[afin, saluer, lenteur, solennelle]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[ravissements, jeune, gazelle]","['NOUN', 'ADJ', 'NOUN']",3,2
"[laçant, délaçant, course, vagabonde]","['ADJ', 'VERB', 'NOUN', 'ADJ']",4,3
"[galopant, trottant, suspendant, ronde]","['VERB', 'VERB', 'VERB', 'ADJ']",4,2
"[afin, saluer, race, intemporelle]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[dépassements, bouc, chevreuil]","['NOUN', 'NOUN', 'NOUN']",3,1
"[mêlant, démêlant, course, audacieuse]","['VERB', 'VERB', 'NOUN', 'ADJ']",4,3
"[dressés, tout, coup, quelque, immense, seuil]","['VERB', 'DET', 'NOUN', 'DET', 'ADJ', 'NOUN']",6,4
"[afin, saluer, terre, spacieuse]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[tous, filateurs, toutes, fileuses]","['ADJ', 'NOUN', 'ADJ', 'ADJ']",4,2
"[mêlant, démêlant, écheveau, course]","['VERB', 'NOUN', 'NOUN', 'NOUN']",4,2
"[sable, or, vagues, nébuleuses]","['NOUN', 'CCONJ', 'NOUN', 'ADJ']",4,3
"[sept, clous, articulés, découpaient, grande, ourse]","['NUM', 'NOUN', 'VERB', 'VERB', 'ADJ', 'NOUN']",6,4
"[tous, inventeurs, toutes, brodeuses]","['ADJ', 'NOUN', 'ADJ', 'NOUN']",4,2
"[lacis, leurs, découpaient, dentelles]","['ADJ', 'DET', 'VERB', 'NOUN']",4,4
"[beaux, arpenteurs, parmi, ravaudeuses]","['ADJ', 'NOUN', 'ADP', 'ADJ']",4,3
"[dessinaient, glacis, devant, citadelles]","['VERB', 'NOUN', 'ADP', 'NOUN']",4,3
"[création, naissante, sans, mémoire]","['NOUN', 'ADJ', 'ADP', 'NOUN']",4,3
"[tournante, retournante, courbes, orbe]","['ADJ', 'ADJ', 'NOUN', 'NOUN']",4,2
"[faîne, gland, coing, sorbe]","['NOUN', 'NOUN', 'NOUN', 'NOUN']",4,1
"[plus, juteux, sous, dents, prune, poire]","['ADV', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'NOUN']",6,4
"[plus, connu, terre, maternelle]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[fomentant, sein, faciles, épis]","['VERB', 'NOUN', 'ADJ', 'NOUN']",4,3
"[race, pendue, innombrables, pis]","['NOUN', 'VERB', 'ADJ', 'NOUN']",4,3
"[nature, chaste, ensemble, charnelle]","['NOUN', 'ADJ', 'NOUN', 'ADJ']",4,2
"[plus, connu, ni, glèbe, facile]","['ADV', 'VERB', 'CCONJ', 'NOUN', 'ADJ']",5,5
"[ni, silence, ombre, cette, lourde, grappe]","['CCONJ', 'NOUN', 'NOUN', 'DET', 'ADJ', 'NOUN']",6,4
"[ni, océan, blés, cette, lourde, nappe]","['CCONJ', 'NOUN', 'NOUN', 'DET', 'ADJ', 'NOUN']",6,4
"[jours, bonheur, suivant, file]","['NOUN', 'NOUN', 'ADJ', 'NOUN']",4,2
"[plus, connu, ni, cette, plaine, grasse]","['ADV', 'VERB', 'CCONJ', 'DET', 'NOUN', 'ADJ']",6,6
"[ni, avoine, seigle, leurs, débordements]","['CCONJ', 'NOUN', 'ADJ', 'DET', 'NOUN']",5,4
"[ni, vigne, treille, leurs, festonnements]","['CCONJ', 'NOUN', 'NOUN', 'DET', 'NOUN']",5,3
"[jours, bonheur, suivant, trace]","['NOUN', 'NOUN', 'VERB', 'NOUN']",4,2
"[plus, connu, limon, encrasse]","['ADV', 'VERB', 'NOUN', 'NOUN']",4,3
"[force, être, épais, être, nourrissant]","['NOUN', 'AUX', 'ADJ', 'AUX', 'ADJ']",5,3
"[plus, connu, pampre, florissant]","['ADV', 'ADJ', 'NOUN', 'ADJ']",4,3
"[race, blés, jaillis, race]","['NOUN', 'NOUN', 'VERB', 'NOUN']",4,2
"[plus, connu, arbre, chargé, pommes]","['ADV', 'ADJ', 'NOUN', 'VERB', 'NOUN']",5,4
"[pliant, sous, faix, mûre, saison]","['VERB', 'ADP', 'NOUN', 'ADJ', 'NOUN']",5,4
"[plus, connu, devant, maison]","['ADV', 'VERB', 'ADP', 'NOUN']",4,4
"[blés, enfants, jaillis, enfants, hommes]","['NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN']",5,2
"[depuis, jour, devenu, fange]","['ADP', 'NOUN', 'VERB', 'NOUN']",4,3
"[encor, lourd, plastique, limon]","['NOUN', 'ADJ', 'ADJ', 'NOUN']",4,2
"[sagesse, roi, salomon]","['NOUN', 'NOUN', 'PROPN']",3,2
"[point, départagé, homme, avecque, ange]","['NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN']",5,3
"[depuis, jour, devenu, somme]","['ADP', 'NOUN', 'VERB', 'NOUN']",4,3
"[obtenait, sans, total, sans, addition]","['VERB', 'ADP', 'NOUN', 'ADP', 'NOUN']",5,3
"[sagesse, assise, coteau, sion]","['NOUN', 'ADJ', 'NOUN', 'PROPN']",4,3
"[point, dépareillé, ange, avecque, homme]","['ADV', 'VERB', 'NOUN', 'ADP', 'NOUN']",5,4
"[plus, connu, ni, cette, plaine, rase]","['ADV', 'VERB', 'CCONJ', 'DET', 'NOUN', 'ADJ']",6,6
"[ni, secret, ravin, pentes, inclinées]","['CCONJ', 'NOUN', 'NOUN', 'NOUN', 'ADJ']",5,3
"[ni, mouvant, tableau, ombres, déclinées]","['CCONJ', 'ADJ', 'NOUN', 'NOUN', 'VERB']",5,4
"[ni, vallons, plus, pleins, flanc, beau, vase]","['CCONJ', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'ADJ', 'NOUN']",7,4
"[plus, connu, saisons, couronnées]","['ADV', 'VERB', 'NOUN', 'VERB']",4,3
"[dansant, devant, temps]","['VERB', 'ADP', 'NOUN']",3,3
"[plus, connu, vers, printemps]","['ADV', 'VERB', 'ADP', 'NOUN']",4,4
"[long, balancement, saisons, prosternées]","['ADJ', 'NOUN', 'NOUN', 'VERB']",4,3
"[plus, connu, fleurs, nouvelles, -, nées]","['ADV', 'VERB', 'NOUN', 'ADJ', 'ADJ', 'ADJ']",6,4
"[jaillissant, sommets, énormes, cascades]","['VERB', 'NOUN', 'ADJ', 'NOUN']",4,3
"[plus, connu, profondes, arcades]","['ADV', 'VERB', 'ADJ', 'NOUN']",4,4
"[haut, cyprès, ombres, décernées]","['ADJ', 'PROPN', 'NOUN', 'VERB']",4,4
"[plus, connu, naissantes, années]","['ADV', 'VERB', 'ADJ', 'NOUN']",4,4
"[jaillissant, comme, chœur, haut, jeune, temps]","['VERB', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'NOUN']",6,4
"[plus, connu, vers, jeune, printemps]","['ADV', 'VERB', 'ADP', 'ADJ', 'NOUN']",5,5
"[chaste, enlacement, saisons, alternées]","['ADJ', 'NOUN', 'NOUN', 'ADJ']",4,2
"[plus, connu, saisons, discernées]","['ADV', 'VERB', 'NOUN', 'VERB']",4,3
"[égal, bonheur, creux, temps]","['ADJ', 'NOUN', 'ADJ', 'NOUN']",4,2
"[plus, connu, vers, égal, printemps]","['ADV', 'VERB', 'ADP', 'ADJ', 'NOUN']",5,5
"[égal, déroulement, saisons, gouvernées]","['ADJ', 'NOUN', 'NOUN', 'VERB']",4,3
