text,pos,total,pos_unique
"[la, tapisserie]","['DET', 'NOUN']",2,2
"[sainte, geneviève]","['ADJ', 'PROPN']",2,2
"[jeanne, d', arc]","['PROPN', 'ADP', 'PROPN']",3,2
"[cahier, jour, noël]","['NOUN', 'NOUN', 'NOUN']",3,1
"[neuvaine, sainte, geneviève]","['NOUN', 'ADJ', 'PROPN']",3,3
"[quatorzième, série]","['ADJ', 'NOUN']",2,2
"[madame, geneviève, favre]","['NOUN', 'PROPN', 'PROPN']",3,2
"[communis, urbis, atque, antiquae]","['X', 'ADJ', 'NOUN', 'ADJ']",4,3
"[patronae, in, fidem, aeternam]","['X', 'X', 'X', 'X']",4,1
"[premier, jour]","['ADJ', 'NOUN']",2,2
"[vendredi, janvier]","['NOUN', 'NOUN']",2,1
"[fête, sainte, geneviève]","['NOUN', 'ADJ', 'PROPN']",3,3
"[quatorze, cent, unième, anniversaire]","['NUM', 'NUM', 'ADJ', 'NOUN']",4,3
[mort],['NOUN'],1,1
"[comme, gardé, moutons, nanterre]","['ADP', 'VERB', 'NOUN', 'ADJ']",4,4
"[mit, garder, bien, autre, troupeau]","['VERB', 'VERB', 'ADV', 'ADJ', 'NOUN']",5,4
"[plus, énorme, horde, où, loup, l', agneau]","['ADV', 'ADJ', 'NOUN', 'PRON', 'NOUN', 'DET', 'NOUN']",7,5
"[jamais, confondu, commune, misère]","['ADV', 'VERB', 'NOUN', 'NOUN']",4,3
"[comme, veillait, tous, soirs, solitaire]","['SCONJ', 'VERB', 'ADJ', 'NOUN', 'ADJ']",5,4
"[cour, ferme, bord, l', eau]","['NOUN', 'ADJ', 'NOUN', 'DET', 'NOUN']",5,3
"[pied, saule, bouleau]","['NOUN', 'NOUN', 'NOUN']",3,1
"[veille, aujourd'hui, monstre, pierre]","['VERB', 'ADV', 'NOUN', 'NOUN']",4,3
"[quand, soir, viendra, fermera, jour]","['SCONJ', 'NOUN', 'VERB', 'VERB', 'NOUN']",5,3
