text,pos,total,pos_unique
[],[],0,0
"[porche, mystère]","['NOUN', 'NOUN']",2,1
"[deuxième, vertu]","['ADJ', 'NOUN']",2,2
"[madame, gervaise, rentre]","['NOUN', 'ADJ', 'VERB']",3,3
"[madame, gervaise]","['NOUN', 'ADJ']",2,2
"[foi, aime, mieux, dit, dieu, espérance]","['NOUN', 'VERB', 'ADV', 'VERB', 'PROPN', 'NOUN']",6,4
"[foi, ça, étonne]","['NOUN', 'PRON', 'VERB']",3,3
"[ça, étonnant]","['PRON', 'ADJ']",2,2
"[éclate, tellement, création]","['VERB', 'ADV', 'NOUN']",3,3
"[soleil, lune, étoiles]","['NOUN', 'NOUN', 'NOUN']",3,1
"[toutes, créatures]","['ADJ', 'NOUN']",2,2
"[astres, firmament, poissons]","['NOUN', 'NOUN', 'NOUN']",3,1
[mer],['NOUN'],1,1
"[univers, créatures]","['NOUN', 'NOUN']",2,1
"[face, mer, face, eaux]","['NOUN', 'NOUN', 'NOUN', 'NOUN']",4,1
[mouvement],['NOUN'],1,1
"[astres, ciel]","['NOUN', 'NOUN']",2,1
"[vent, souffle, mer, vent]","['NOUN', 'VERB', 'NOUN', 'NOUN']",4,2
"[souffle, vallée]","['NOUN', 'NOUN']",2,1
"[calme, vallée]","['ADJ', 'NOUN']",2,2
"[recoite, vallée]","['VERB', 'NOUN']",2,2
"[plantes, bêtes, bêtes, forêts]","['NOUN', 'ADJ', 'ADJ', 'NOUN']",4,2
[homme],['NOUN'],1,1
[créature],['NOUN'],1,1
"[peuples, hommes]","['NOUN', 'NOUN']",2,1
"[rois, peuples]","['NOUN', 'NOUN']",2,1
"[homme, femme, compagne]","['NOUN', 'NOUN', 'NOUN']",3,1
"[surtout, enfants]","['ADV', 'NOUN']",2,2
[créatures],['NOUN'],1,1
"[regard, voix, enfants]","['NOUN', 'NOUN', 'NOUN']",3,1
"[car, enfants, plus, créatures]","['CCONJ', 'NOUN', 'ADV', 'NOUN']",4,3
[hommes],['NOUN'],1,1
"[encore, défaits, vie]","['ADV', 'VERB', 'NOUN']",3,3
[terre],['NOUN'],1,1
"[entre, tous, serviteurs]","['ADP', 'ADJ', 'NOUN']",3,3
"[avant, tous]","['ADP', 'ADJ']",2,2
"[voix, enfants, plus, pure, voix]","['NOUN', 'NOUN', 'ADV', 'ADJ', 'NOUN']",5,3
"[vent, calme, vallée]","['NOUN', 'ADJ', 'NOUN']",3,2
"[vallée, recoite]","['NOUN', 'VERB']",2,2
"[regard, enfants, plus, pur, bleu]","['NOUN', 'NOUN', 'ADV', 'ADJ', 'NOUN']",5,3
"[ciel, laiteux, ciel, rayon, étoile]","['NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN']",5,2
"[calme, nuit]","['ADJ', 'NOUN']",2,2
"[or, éclate, tellement, création]","['CCONJ', 'VERB', 'ADV', 'NOUN']",4,4
"[face, montagnes, face, plaine]","['NOUN', 'NOUN', 'NOUN', 'NOUN']",4,1
"[pain, vin, homme]","['NOUN', 'NOUN', 'NOUN']",3,1
"[laboure, homme, sème]","['PROPN', 'NOUN', 'VERB']",3,3
"[moisson, vendange]","['NOUN', 'NOUN']",2,1
