text,pos,total,pos_unique
"['fideli', 'fidelis']","['NOUN', 'ADJ']",2,2
['ève'],['NOUN'],1,1
"['jésus', 'parle']","['NOUN', 'VERB']",2,2
"['mère', 'ensevelie', 'hors', 'premier', 'jardin']","['NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN']",5,4
"['plus', 'connu', 'climat', 'grâce']","['ADV', 'VERB', 'NOUN', 'ADV']",4,3
"['vasque', 'source', 'haute', 'terrasse']","['NOUN', 'NOUN', 'ADJ', 'NOUN']",4,2
"['premier', 'soleil', 'premier', 'matin']","['ADJ', 'NOUN', 'ADJ', 'NOUN']",4,2
"['bondissements', 'biche', 'daim']","['NOUN', 'NOUN', 'NOUN']",3,1
"['nouant', 'dénouant', 'course', 'fraternelle']","['VERB', 'VERB', 'NOUN', 'ADJ']",4,3
"['courant', 'sautant', 'arrêtant', 'soudain']","['NOUN', 'VERB', 'VERB', 'ADV']",4,3
"['mieux', 'commémorer', 'vigueur', 'éternelle']","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"['bien', 'mesurer', 'force', 'originelle']","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"['poser', 'leurs', 'moelleux', 'tapis']","['VERB', 'DET', 'ADJ', 'NOUN']",4,4
"['deux', 'beaux', 'coureurs', 'soi-même', 'tapis']","['NUM', 'ADJ', 'NOUN', 'PRON', 'NOUN']",5,4
"['afin', 'saluer', 'lenteur', 'solennelle']","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"['ravissements', 'jeune', 'gazelle']","['NOUN', 'ADJ', 'NOUN']",3,2
"['laçant', 'délaçant', 'course', 'vagabonde']","['VERB', 'VERB', 'NOUN', 'ADJ']",4,3
"['galopant', 'trottant', 'suspendant', 'ronde']","['VERB', 'VERB', 'VERB', 'NOUN']",4,2
"['afin', 'saluer', 'race', 'intemporelle']","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"['dépassements', 'bouc', 'chevreuil']","['NOUN', 'ADJ', 'NOUN']",3,2
"['mêlant', 'démêlant', 'course', 'audacieuse']","['VERB', 'VERB', 'NOUN', 'ADJ']",4,3
"['dressés', 'tout', 'coup', 'quelque', 'immense', 'seuil']","['VERB', 'DET', 'NOUN', 'DET', 'ADJ', 'NOUN']",6,4
"['afin', 'saluer', 'terre', 'spacieuse']","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"['tous', 'filateurs', 'toutes', 'fileuses']","['DET', 'NOUN', 'DET', 'ADJ']",4,3
"['mêlant', 'démêlant', 'écheveau', 'course']","['VERB', 'NOUN', 'NOUN', 'NOUN']",4,2
"['sable', 'or', 'vagues', 'nébuleuses']","['NOUN', 'NOUN', 'NOUN', 'ADJ']",4,2
"['sept', 'clous', 'articulés', 'découpaient', 'grande', 'ourse']","['NUM', 'NOUN', 'VERB', 'VERB', 'ADJ', 'NOUN']",6,4
"['tous', 'inventeurs', 'toutes', 'brodeuses']","['DET', 'NOUN', 'DET', 'NOUN']",4,2
"['lacis', 'leurs', 'découpaient', 'dentelles']","['NOUN', 'PRON', 'VERB', 'ADJ']",4,4
"['beaux', 'arpenteurs', 'parmi', 'ravaudeuses']","['ADJ', 'NOUN', 'ADP', 'NOUN']",4,3
"['dessinaient', 'glacis', 'devant', 'citadelles']","['VERB', 'ADJ', 'ADP', 'NOUN']",4,4
"['création', 'naissante', 'sans', 'mémoire']","['NOUN', 'ADJ', 'ADP', 'NOUN']",4,3
"['tournante', 'retournante', 'courbes', 'orbe']","['ADJ', 'ADJ', 'NOUN', 'NOUN']",4,2
"['faîne', 'gland', 'coing', 'sorbe']","['NOUN', 'NOUN', 'NOUN', 'ADJ']",4,2
"['plus', 'juteux', 'sous', 'dents', 'prune', 'poire']","['ADV', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'ADJ']",6,4
"['plus', 'connu', 'terre', 'maternelle']","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"['fomentant', 'sein', 'faciles', 'épis']","['VERB', 'NOUN', 'ADJ', 'NOUN']",4,3
"['race', 'pendue', 'innombrables', 'pis']","['NOUN', 'VERB', 'ADJ', 'PUNCT']",4,4
"['nature', 'chaste', 'ensemble', 'charnelle']","['NOUN', 'ADJ', 'NOUN', 'ADJ']",4,2
"['plus', 'connu', 'ni', 'glèbe', 'facile']","['ADV', 'VERB', 'CCONJ', 'NOUN', 'ADJ']",5,5
"['ni', 'silence', 'ombre', 'cette', 'lourde', 'grappe']","['CCONJ', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN']",6,5
"['ni', 'océan', 'blés', 'cette', 'lourde', 'nappe']","['CCONJ', 'NOUN', 'ADJ', 'DET', 'ADJ', 'NOUN']",6,4
"['jours', 'bonheur', 'suivant', 'file']","['NOUN', 'NOUN', 'ADJ', 'NOUN']",4,2
"['plus', 'connu', 'ni', 'cette', 'plaine', 'grasse']","['ADV', 'VERB', 'CCONJ', 'DET', 'NOUN', 'ADJ']",6,6
"['ni', 'avoine', 'seigle', 'leurs', 'débordements']","['CCONJ', 'NOUN', 'NOUN', 'DET', 'NOUN']",5,3
"['ni', 'vigne', 'treille', 'leurs', 'festonnements']","['CCONJ', 'NOUN', 'NOUN', 'DET', 'NOUN']",5,3
"['jours', 'bonheur', 'suivant', 'trace']","['NOUN', 'NOUN', 'ADJ', 'NOUN']",4,2
"['plus', 'connu', 'limon', 'encrasse']","['ADV', 'VERB', 'NOUN', 'VERB']",4,3
"['force', 'être', 'épais', 'être', 'nourrissant']","['NOUN', 'AUX', 'ADJ', 'AUX', 'VERB']",5,4
"['plus', 'connu', 'pampre', 'florissant']","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"['race', 'blés', 'jaillis', 'race']","['NOUN', 'ADJ', 'ADJ', 'NOUN']",4,2
"['plus', 'connu', 'arbre', 'chargé', 'pommes']","['ADV', 'VERB', 'NOUN', 'VERB', 'NOUN']",5,3
"['pliant', 'sous', 'faix', 'mûre', 'saison']","['VERB', 'ADP', 'DET', 'ADJ', 'NOUN']",5,5
"['plus', 'connu', 'devant', 'maison']","['ADV', 'VERB', 'ADP', 'NOUN']",4,4
"['blés', 'enfants', 'jaillis', 'enfants', 'hommes']","['NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN']",5,2
"['depuis', 'jour', 'devenu', 'fange']","['ADP', 'NOUN', 'VERB', 'NOUN']",4,3
"['encor', 'lourd', 'plastique', 'limon']","['ADV', 'ADJ', 'NOUN', 'NOUN']",4,3
