text,pos,total,pos_unique
la tapisserie,"['DET', 'NOUN']",2,2
sainte geneviève,"['NOUN', 'NOUN']",2,1
jeanne d' arc,"['NOUN', 'ADP', 'NOUN']",3,2
cahier jour noël,"['NOUN', 'NOUN', 'NOUN']",3,1
neuvaine sainte geneviève,"['NOUN', 'ADJ', 'NOUN']",3,2
quatorzième série,"['ADJ', 'NOUN']",2,2
madame geneviève favre,"['NOUN', 'NOUN', 'PROPN']",3,2
communis urbis atque antiquae,"['X', 'X', 'X', 'X']",4,1
patronae in fidem aeternam,"['X', 'X', 'X', 'X']",4,1
premier jour,"['ADJ', 'NOUN']",2,2
vendredi janvier,"['NOUN', 'NOUN']",2,1
fête sainte geneviève,"['NOUN', 'ADJ', 'NOUN']",3,2
quatorze cent unième anniversaire,"['NUM', 'NUM', 'ADJ', 'NOUN']",4,3
mort,['VERB'],1,1
comme gardé moutons nanterre,"['SCONJ', 'VERB', 'NOUN', 'ADJ']",4,4
mit garder bien autre troupeau,"['AUX', 'VERB', 'ADV', 'ADJ', 'NOUN']",5,5
plus énorme horde où loup l' agneau,"['ADV', 'ADJ', 'NOUN', 'ADV', 'NOUN', 'DET', 'NOUN']",7,4
jamais confondu commune misère,"['ADV', 'VERB', 'NOUN', 'NOUN']",4,3
comme veillait tous soirs solitaire,"['SCONJ', 'VERB', 'DET', 'NOUN', 'ADJ']",5,5
cour ferme bord l' eau,"['NOUN', 'ADJ', 'NOUN', 'DET', 'NOUN']",5,3
pied saule bouleau,"['NOUN', 'NOUN', 'NOUN']",3,1
veille aujourd'hui monstre pierre,"['VERB', 'ADV', 'NOUN', 'NOUN']",4,3
quand soir viendra fermera jour,"['SCONJ', 'NOUN', 'VERB', 'VERB', 'NOUN']",5,3
c' est caduque l' antique bergère,"['PRON', 'AUX', 'ADJ', 'DET', 'ADJ', 'NOUN']",6,5
ramassant paris tout alentour,"['VERB', 'NOUN', 'ADV', 'ADV']",4,3
conduira d' un ferme d' une main légère,"['VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ']",8,5
dernière fois dernière cour,"['ADJ', 'NOUN', 'ADJ', 'NOUN']",4,2
troupeau plus vaste droite père,"['NOUN', 'ADV', 'ADJ', 'ADJ', 'NOUN']",5,3
deuxième jour,"['ADJ', 'NOUN']",2,2
samedi janvier,"['NOUN', 'NOUN']",2,1
ii,['NUM'],1,1
comme gardé moutons nanterre,"['SCONJ', 'VERB', 'NOUN', 'ADJ']",4,4
qu' on content exactitude,"['PRON', 'PRON', 'VERB', 'NOUN']",4,3
mit sous houlette inquiétude,"['VERB', 'ADP', 'NOUN', 'NOUN']",4,3
plus mouvant troupeau plus volontaire,"['ADV', 'ADJ', 'NOUN', 'ADV', 'ADJ']",5,3
