text,pos,total,pos_unique
mystère charite,"['NOUN', 'NOUN']",2,1
jeanne arc,"['NOUN', 'NOUN']",2,1
jeannette continue filer puis lève tourne vers église dit signe croix sans taire,"['NOUN', 'VERB', 'VERB', 'ADV', 'VERB', 'VERB', 'ADP', 'NOUN', 'VERB', 'VERB', 'NOUN', 'ADP', 'VERB']",13,4
jeannette,['NOUN'],1,1
nom père fils saint-esprit ainsi soit -il,"['NOUN', 'NOUN', 'NOUN', 'ADJ', 'ADV', 'AUX', 'PRON']",7,5
père cieux nom sanctifié règne arrive volonté faite terre comme ciel donnez -nous aujourd hui pain chaque jour pardonnez -nous offenses comme pardonnons ceux offensés laissez succomber tentation délivrez -nous mal ainsi soit -il,"['NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'VERB', 'PRON', 'ADV', 'DET', 'NOUN', 'DET', 'NOUN', 'VERB', 'PRON', 'NOUN', 'SCONJ', 'VERB', 'PRON', 'VERB', 'VERB', 'VERB', 'NOUN', 'VERB', 'PRON', 'ADV', 'ADV', 'PART', 'PRON']",34,9
salue marie pleine grâce seigneur bénie entre toutes femmes jésus fruit entrailles béni sainte marie mère dieu priez pauvres pécheurs maintenant heure mort ainsi soit -il saint jean patron sainte jeanne patronne priez priez,"['VERB', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'ADV', 'NOUN', 'VERB', 'ADV', 'ADV', 'PRON', 'NOUN', 'PROPN', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'VERB']",34,8
nom père fi saint-esprit ainsi soit -il,"['NOUN', 'NOUN', 'ADP', 'NOUN', 'ADV', 'AUX', 'PRON']",7,5
père père cieux combien faut nom sanctifié combien faut règne arrive,"['NOUN', 'NOUN', 'ADJ', 'ADV', 'VERB', 'NOUN', 'VERB', 'ADV', 'VERB', 'NOUN', 'VERB']",11,4
père père royaume cieux combien faut règne arrive royaume terre,"['NOUN', 'NOUN', 'NOUN', 'ADJ', 'ADV', 'VERB', 'NOUN', 'VERB', 'NOUN', 'ADJ']",10,4
père père royaume cieux combien faut règne arrive royaume france,"['NOUN', 'NOUN', 'NOUN', 'ADJ', 'ADV', 'VERB', 'NOUN', 'VERB', 'NOUN', 'ADJ']",10,4
père père cieux combien faut volonté faite combien faut pain chaque jour,"['NOUN', 'NOUN', 'ADJ', 'ADV', 'VERB', 'NOUN', 'VERB', 'ADV', 'VERB', 'NOUN', 'DET', 'NOUN']",12,5
combien faut pardonnions offenses succombions tentation délivrés mal ainsi soit -il,"['PRON', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADV', 'ADV', 'AUX', 'PRON']",11,6
