text,pos,total,pos_unique
"['porche', 'mystère']","['NOUN', 'ADJ']",2,2
"['deuxième', 'vertu']","['ADJ', 'NOUN']",2,2
"['madame', 'gervaise', 'rentre']","['NOUN', 'ADJ', 'VERB']",3,3
"['madame', 'gervaise']","['NOUN', 'ADJ']",2,2
"['foi', 'aime', 'mieux', 'dit', 'dieu', 'espérance']","['NOUN', 'VERB', 'ADV', 'VERB', 'NOUN', 'NOUN']",6,3
"['foi', 'ça', 'étonne']","['NOUN', 'PRON', 'VERB']",3,3
"['ça', 'étonnant']","['PRON', 'VERB']",2,2
"['éclate', 'tellement', 'création']","['VERB', 'ADV', 'NOUN']",3,3
"['soleil', 'lune', 'étoiles']","['NOUN', 'NOUN', 'ADJ']",3,2
"['toutes', 'créatures']","['DET', 'NOUN']",2,2
"['astres', 'firmament', 'poissons']","['NOUN', 'NOUN', 'NOUN']",3,1
['mer'],['NOUN'],1,1
"['univers', 'créatures']","['NOUN', 'NOUN']",2,1
"['face', 'mer', 'face', 'eaux']","['NOUN', 'NOUN', 'ADV', 'NOUN']",4,2
['mouvement'],['NOUN'],1,1
"['astres', 'ciel']","['NOUN', 'ADJ']",2,2
"['vent', 'souffle', 'mer', 'vent']","['NOUN', 'NOUN', 'NOUN', 'NOUN']",4,1
"['souffle', 'vallée']","['NOUN', 'NOUN']",2,1
"['calme', 'vallée']","['ADJ', 'NOUN']",2,2
"['recoite', 'vallée']","['ADJ', 'NOUN']",2,2
"['plantes', 'bêtes', 'bêtes', 'forêts']","['NOUN', 'ADJ', 'ADJ', 'ADJ']",4,2
['homme'],['NOUN'],1,1
['créature'],['NOUN'],1,1
"['peuples', 'hommes']","['NOUN', 'ADJ']",2,2
"['rois', 'peuples']","['NOUN', 'NOUN']",2,1
"['homme', 'femme', 'compagne']","['NOUN', 'NOUN', 'NOUN']",3,1
"['surtout', 'enfants']","['ADV', 'NOUN']",2,2
['créatures'],['NOUN'],1,1
"['regard', 'voix', 'enfants']","['NOUN', 'NOUN', 'NOUN']",3,1
"['car', 'enfants', 'plus', 'créatures']","['CCONJ', 'NOUN', 'ADV', 'NOUN']",4,3
['hommes'],['NOUN'],1,1
"['encore', 'défaits', 'vie']","['ADV', 'VERB', 'NOUN']",3,3
['terre'],['NOUN'],1,1
"['entre', 'tous', 'serviteurs']","['ADP', 'DET', 'NOUN']",3,3
"['avant', 'tous']","['ADP', 'PRON']",2,2
"['voix', 'enfants', 'plus', 'pure', 'voix']","['NOUN', 'NOUN', 'ADV', 'ADJ', 'NOUN']",5,3
"['vent', 'calme', 'vallée']","['NOUN', 'ADJ', 'NOUN']",3,2
"['vallée', 'recoite']","['NOUN', 'ADJ']",2,2
"['regard', 'enfants', 'plus', 'pur', 'bleu']","['NOUN', 'NOUN', 'ADV', 'ADJ', 'ADJ']",5,3
"['ciel', 'laiteux', 'ciel', 'rayon', 'étoile']","['NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADJ']",5,2
"['calme', 'nuit']","['ADJ', 'NOUN']",2,2
"['or', 'éclate', 'tellement', 'création']","['NOUN', 'VERB', 'ADV', 'NOUN']",4,3
"['face', 'montagnes', 'face', 'plaine']","['NOUN', 'NOUN', 'ADV', 'ADJ']",4,3
"['pain', 'vin', 'homme']","['NOUN', 'NOUN', 'NOUN']",3,1
"['laboure', 'homme', 'sème']","['ADJ', 'NOUN', 'VERB']",3,3
"['moisson', 'vendange']","['NOUN', 'ADJ']",2,2
"['lumière', 'ténèbres']","['NOUN', 'ADJ']",2,2
"['cœur', 'homme']","['NOUN', 'NOUN']",2,1
"['plus', 'profond', 'monde']","['ADV', 'ADJ', 'NOUN']",3,3
['créé'],['VERB'],1,1
"['si', 'profond', 'impénétrable', 'tout', 'regard']","['SCONJ', 'ADJ', 'ADJ', 'DET', 'NOUN']",5,4
"['excepté', 'regard']","['ADP', 'NOUN']",2,2
"['tempête', 'fait', 'bondir', 'vagues']","['NOUN', 'AUX', 'VERB', 'NOUN']",4,3
"['tempête', 'fait', 'bondir', 'feuilles']","['NOUN', 'AUX', 'VERB', 'NOUN']",4,3
"['arbres', 'forêt']","['NOUN', 'NOUN']",2,1
"['contraire', 'calme', 'beau', 'soir']","['NOUN', 'ADJ', 'ADJ', 'NOUN']",4,2
"['sables', 'mer', 'étoiles']","['NOUN', 'NOUN', 'ADJ']",3,2
"['sable', 'ciel']","['NOUN', 'NOUN']",2,1
"['pierre', 'seuil', 'pierre', 'foyer']","['NOUN', 'NOUN', 'NOUN', 'NOUN']",4,1
"['pierre', 'autel']","['NOUN', 'NOUN']",2,1
"['prière', 'sacrements']","['NOUN', 'NOUN']",2,1
"['maisons', 'hommes', 'église']","['NOUN', 'NOUN', 'NOUN']",3,1
"['maison', 'terre']","['NOUN', 'ADJ']",2,2
"['aigle', 'créature', 'vole', 'sommets']","['NOUN', 'NOUN', 'VERB', 'NOUN']",4,2
"['aigle', 'royal', 'moins', 'deux', 'mètres', 'enver', '-']","['NOUN', 'ADJ', 'ADV', 'NUM', 'NOUN', 'ADJ', 'PUNCT']",7,5
"['—gure', 'peut-', 'être', 'trois', 'mètres']","['NOUN', 'VERB', 'AUX', 'NUM', 'NOUN']",5,4
"['fourmi', 'créature', 'rampe']","['NOUN', 'NOUN', 'NOUN']",3,1
"['amasse', 'petitement']","['VERB', 'ADV']",2,2
['terre'],['NOUN'],1,1
"['fourmi', 'serviteur']","['NOUN', 'NOUN']",2,1
"['jusque', 'serpent']","['ADV', 'NOUN']",2,2
"['fourmi', 'servante', 'infime', 'servante']","['NOUN', 'ADJ', 'ADJ', 'ADJ']",4,2
"['amasse', 'péniblement', 'parcimonieuse']","['VERB', 'ADV', 'ADJ']",3,3
"['travaille', 'comme', 'malheureuse']","['VERB', 'ADP', 'ADJ']",3,3
"['point', 'cesse', 'point', 'repos']","['NOUN', 'VERB', 'NOUN', 'ADJ']",4,3
"['mort', 'long', 'sommeil', 'hiver']","['VERB', 'ADJ', 'NOUN', 'NOUN']",4,3
"['haussant', 'épaules', 'tant', 'évidence']","['VERB', 'NOUN', 'ADV', 'NOUN']",4,3
"['devant', 'tant', 'évide']","['ADP', 'ADV', 'PUNCT']",3,3
['nce'],['X'],1,1
"['éclate', 'tellement', 'toute', 'création']","['VERB', 'ADV', 'DET', 'NOUN']",4,4
"['infime', 'créature', 'infime', 'ser', '-']","['ADJ', 'NOUN', 'ADJ', 'NOUN', 'PUNCT']",5,3
"['—vante', 'infime', 'fourmi', 'infime']","['ADV', 'ADJ', 'NOUN', 'ADJ']",4,3
"['thésaurise', 'petitement', 'comme', 'homme']","['VERB', 'ADV', 'ADP', 'NOUN']",4,4
"['comme', 'homme', 'infime']","['ADP', 'NOUN', 'ADJ']",3,3
"['creuse', 'galeries', 'terre']","['ADJ', 'NOUN', 'ADJ']",3,2
"['sous-sols', 'terre']","['NOUN', 'ADJ']",2,2
"['amasser', 'mesquinement', 'trésors']","['VERB', 'ADV', 'NOUN']",3,3
['temporels'],['ADJ'],1,1
['pauvrement'],['ADV'],1,1
"['jusque', 'serpent']","['ADV', 'NOUN']",2,2
"['trompé', 'femme', 'rampe', 'cela']","['VERB', 'NOUN', 'NOUN', 'PRON']",4,3
['ventre'],['NOUN'],1,1
"['créature', 'serviteur']","['NOUN', 'NOUN']",2,1
"['serpent', 'trompé', 'femme']","['NOUN', 'VERB', 'NOUN']",3,2
['servante'],['NOUN'],1,1
"['trompé', 'homme', 'serviteur']","['VERB', 'NOUN', 'ADJ']",3,3
"['éclate', 'tellement', 'création']","['VERB', 'ADV', 'NOUN']",3,3
"['tout', 'arrive', 'hommes', 'peuples']","['PRON', 'VERB', 'NOUN', 'NOUN']",4,3
['pauvres'],['ADJ'],1,1
['riches'],['ADJ'],1,1
"['veulent', 'être', 'créatures']","['VERB', 'AUX', 'NOUN']",3,3
"['mettent', 'abri']","['VERB', 'NOUN']",2,2
"['être', 'serviteurs']","['AUX', 'NOUN']",2,2
"['tout', 'homme', 'fait', 'défait', 'mal']","['DET', 'NOUN', 'AUX', 'VERB', 'NOUN']",5,4
['bien'],['ADV'],1,1
"['passe', 'dessus', 'parce']","['VERB', 'ADV', 'ADV']",3,2
"['maître', 'fais', 'défait', 'défais']","['NOUN', 'AUX', 'VERB', 'NOUN']",4,3
['fait'],['VERB'],1,1
"['jusque', 'tentation', 'péché']","['ADV', 'NOUN', 'VERB']",3,3
['arrivé'],['VERB'],1,1
['fils'],['NOUN'],1,1
"['cause', 'homme']","['NOUN', 'NOUN']",2,1
['créature'],['NOUN'],1,1
['créé'],['VERB'],1,1
"['incorporation', 'renaissance']","['NOUN', 'NOUN']",2,1
"['vie', 'mort', 'fils']","['NOUN', 'ADJ', 'NOUN']",3,2
"['saint', 'sacrifice', 'messe']","['ADJ', 'NOUN', 'NOUN']",3,2
"['toute', 'naissance', 'toute', 'vie']","['DET', 'NOUN', 'DET', 'NOUN']",4,2
"['toute', 'mort']","['DET', 'NOUN']",2,2
"['vie', 'éternelle', 'finira', 'point']","['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
"['vaincra', 'toute', 'mort']","['VERB', 'DET', 'NOUN']",3,3
"['éclate', 'tellement', 'création']","['VERB', 'ADV', 'NOUN']",3,3
"['voir', 'vraiment', 'faudrait']","['VERB', 'ADV', 'VERB']",3,2
"['pauvres', 'gens', 'aveugles']","['ADJ', 'NOUN', 'ADJ']",3,2
"['charité', 'dit', 'dieu', 'ça', 'étonne']","['NOUN', 'VERB', 'NOUN', 'PRON', 'VERB']",5,3
"['ça', 'étonnant']","['PRON', 'VERB']",2,2
"['pauvres', 'créatures', 'si', 'malheureuses']","['ADJ', 'NOUN', 'SCONJ', 'ADJ']",4,3
"['moins', 'avoir', 'cœur', 'pierre', 'comment', 'à', 'le', '-']","['ADV', 'VERB', 'NOUN', 'NOUN', 'ADV', 'ADP', 'DET', 'PUNCT']",8,6
"['—raient', '-elles', 'point', 'charité', 'unes', 'autres']","['VERB', 'PRON', 'NOUN', 'NOUN', 'ADJ', 'PRON']",6,4
"['comment', 'auraient', '-ils', 'point', 'charité', 'frères']","['ADV', 'VERB', 'PRON', 'NOUN', 'NOUN', 'NOUN']",6,4
"['comment', 'retireraient', '-ils', 'point', 'pain']","['ADV', 'VERB', 'PRON', 'DET', 'NOUN']",5,5
"['bouche', 'pain', 'chaque', 'jour', 'donner']","['NOUN', 'NOUN', 'DET', 'NOUN', 'VERB']",5,3
"['malheureux', 'enfants', 'passent']","['ADJ', 'NOUN', 'VERB']",3,3
"['fils', 'telle', 'charité']","['NOUN', 'ADJ', 'NOUN']",3,2
"['fils', 'frère']","['NOUN', 'NOUN']",2,1
"['si', 'grande', 'charité']","['SCONJ', 'ADJ', 'NOUN']",3,3
"['espérance', 'dit', 'dieu', 'voilà', 'étonne']","['NOUN', 'VERB', 'NOUN', 'VERB', 'VERB']",5,2
['moi-même'],['PRON'],1,1
"['ça', 'étonnant']","['PRON', 'VERB']",2,2
"['pauvres', 'enfants', 'voient', 'comme', 'tout', 'ça']","['ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'PRON']",6,6
"['passe', 'croient', 'demain', 'ça', 'ira', 'mieux']","['NOUN', 'VERB', 'ADV', 'PRON', 'VERB', 'ADV']",6,4
"['voient', 'comme', 'ça', 'passe', 'aujourd', 'hui']","['VERB', 'SCONJ', 'PRON', 'VERB', 'ADV', 'PUNCT']",6,5
"['croient', 'ça', 'ira', 'mieux', 'demain', 'matin']","['VERB', 'PRON', 'VERB', 'ADV', 'ADV', 'NOUN']",6,4
"['ça', 'étonnant', 'bien', 'plus', 'grande', 'mer', '-']","['PRON', 'VERB', 'ADV', 'ADV', 'ADJ', 'NOUN', 'PUNCT']",7,6
"['—veille', 'grâce']","['NOUN', 'NOUN']",2,1
"['étonné', 'moi-même']","['VERB', 'PRON']",2,2
"['faut', 'grâce', 'effet', 'force']","['VERB', 'NOUN', 'NOUN', 'NOUN']",4,2
['incroyable'],['ADJ'],1,1
"['coule', 'source', 'comme', 'fleuve']","['VERB', 'NOUN', 'ADP', 'NOUN']",4,3
['inépuisable'],['ADJ'],1,1
"['depuis', 'première', 'fois', 'coula', 'depuis']","['ADP', 'ADJ', 'NOUN', 'VERB', 'ADP']",5,4
"['toujours', 'coule']","['ADV', 'VERB']",2,2
"['création', 'naturelle', 'surnaturelle']","['NOUN', 'ADJ', 'ADJ']",3,2
"['création', 'spirituelle', 'charnelle', 'encore']","['NOUN', 'ADJ', 'ADJ', 'ADV']",4,3
['spirituelle'],['ADJ'],1,1
"['création', 'éternelle', 'temporelle', 'encore']","['NOUN', 'ADJ', 'ADJ', 'ADV']",4,3
['éternelle'],['ADJ'],1,1
"['mortelle', 'immortelle']","['ADJ', 'ADJ']",2,1
"['cette', 'fois', 'oh', 'cette', 'fois', 'depuis', 'cette']","['DET', 'NOUN', 'ADV', 'DET', 'NOUN', 'ADP', 'DET']",7,4
['fois'],['NOUN'],1,1
"['coula', 'comme', 'fleuve', 'sang', 'flanc', 'percé']","['VERB', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'VERB']",6,4
['fils'],['NOUN'],1,1
"['quelle', 'faut', '-il', 'grâce', 'force']","['PRON', 'VERB', 'PRON', 'ADV', 'NOUN']",5,4
"['grâce', 'cette', 'petite', 'espérance']","['ADV', 'DET', 'ADJ', 'NOUN']",4,4
"['vacillante', 'souffle', 'péché', 'tremblante', 'tous']","['ADJ', 'NOUN', 'VERB', 'ADJ', 'PRON']",5,4
"['vents', 'anxieuse', 'moindre', 'souffle']","['NOUN', 'ADJ', 'ADJ', 'NOUN']",4,2
"['aussi', 'invariable', 'tienne', 'aussi', 'fidèle', 'aussi']","['ADV', 'ADJ', 'VERB', 'ADV', 'ADJ', 'ADV']",6,3
"['droite', 'aussi', 'pure', 'aussi', 'invincible', 'immortelle']","['NOUN', 'ADV', 'ADJ', 'ADV', 'ADJ', 'ADJ']",6,3
"['impossible', 'éteindre', 'cette', 'petite', 'flamme']","['ADJ', 'VERB', 'DET', 'ADJ', 'NOUN']",5,4
['sanctuaire'],['NOUN'],1,1
"['brûle', 'éternellement', 'lampe', 'fidèle']","['VERB', 'ADV', 'NOUN', 'ADJ']",4,4
"['flamme', 'tremblotante', 'traversé', 'épaisseur']","['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
['mondes'],['NOUN'],1,1
"['flamme', 'vacillante', 'traversé', 'épaisseur']","['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
